VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,98938.0,1624366.62,306439.94,181782.13,123880.97,430961.82,26.53,0.97,1.36
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,94960.0,1554498.4,307670.2,174471.93,123880.97,364353.07,23.44,0.97,1.31
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,58610.0,1549701.9,431497.81,107685.03,38994.78,386259.18,24.92,0.99,1.33
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,77041.0,1657809.59,342678.85,141551.61,89286.27,550932.98,33.23,1.01,1.5
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0,38506.0,1584665.41,349562.06,4316.36,48347.26,486329.41,30.69,0.95,1.44
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.44,73122.0,1456174.78,340626.13,57570.69,257032.07,382321.34,26.26,1.0,1.36
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.38,74722.0,1408627.78,331726.63,137288.58,38994.78,373631.4,26.52,0.97,1.36
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.68,64388.0,1327401.12,352821.78,118298.37,20964.81,298288.44,22.47,0.98,1.29
8112,MOET HENNESSY USA INC,42188,Moet & Chandon Nectar Imp Rs,34.01,52.99,750.0,29829,1014484.29,29498.0,1533634.52,132343.67,3314.23,48347.26,519150.23,33.85,0.99,1.51
17035,PERNOD RICARD USA,3423,Beefeater,21.25,26.99,1750.0,46163,980963.75,44762.0,1177834.38,367508.01,82244.16,123780.22,196870.63,16.71,0.97,1.2
8004,SAZERAC CO INC,5138,Fireball Cinnamon Whisky,11.1,13.99,750.0,87954,976289.4,84289.0,1174428.36,257643.31,66360.95,50293.62,198138.96,16.87,0.96,1.2
17035,PERNOD RICARD USA,5734,Malibu Rum,15.82,21.99,1750.0,61639,975128.98,60102.0,1293182.98,315290.18,110429.45,123780.22,318054.0,24.59,0.98,1.33
480,BACARDI USA INC,4227,Bacardi Superior Rum Trav,14.17,17.99,1750.0,68294,967725.98,75147.0,1323223.53,177578.65,138074.09,89286.27,355497.55,26.87,1.1,1.37
4425,MARTIGNETTI COMPANIES,3505,Tito's Handmade Vodka,13.76,18.99,750.0,69299,953554.24,70603.0,1355204.97,331321.59,55584.91,144929.24,401650.73,29.64,1.02,1.42
1128,BROWN-FORMAN CORP,1232,Jack Daniels No 7 Black,15.93,22.99,750.0,52932,843206.76,53206.0,1255188.94,394500.86,41888.06,68601.68,411982.18,32.82,1.01,1.49
12546,JIM BEAM BRANDS COMPANY,1385,Makers Mark,20.45,26.99,750.0,41048,839431.6,37615.0,1034144.85,396827.65,29615.6,123880.97,194713.25,18.83,0.92,1.23
8004,SAZERAC CO INC,5103,Fireball Cinnamon Whisky,17.14,23.99,1750.0,44198,757553.72,43533.0,1093841.67,364814.64,79984.58,50293.62,336287.95,30.74,0.98,1.44
17035,PERNOD RICARD USA,8000,The Glenlivet 12 Yr Single,53.96,67.99,1750.0,13759,742435.64,13210.0,910688.9,453044.28,24275.31,123780.22,168253.26,18.48,0.96,1.23
3960,DIAGEO NORTH AMERICA INC,2432,Crown Royal,17.59,22.99,750.0,41893,736897.87,41506.0,967005.94,361149.79,32678.12,257032.07,230108.07,23.8,0.99,1.31
17035,PERNOD RICARD USA,5365,Kahlua,14.84,18.99,750.0,48583,720971.72,48615.0,932815.85,323296.76,38272.73,123780.22,211844.13,22.71,1.0,1.29
3960,DIAGEO NORTH AMERICA INC,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962,710919.9,64266.0,1210481.34,298050.96,118078.45,257032.07,499561.44,41.27,1.26,1.7
1392,CONSTELLATION BRANDS INC,3913,Svedka Vodka,14.28,17.99,1750.0,48481,692308.68,47805.0,875307.95,271014.43,87832.83,79528.99,182999.27,20.91,0.99,1.26
8004,SAZERAC CO INC,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899,691668.38,70351.0,914148.49,232302.78,129253.37,50293.62,222480.11,24.34,0.98,1.32
1392,CONSTELLATION BRANDS INC,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227,689066.07,72043.0,948838.57,229797.43,132364.71,79528.99,259772.5,27.38,0.98,1.38
4425,MARTIGNETTI COMPANIES,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030,675453.2,78392.0,1095045.04,199092.27,8799.82,144929.24,419591.84,38.32,0.98,1.62
9552,M S WALKER INC,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447,645874.71,81723.0,816412.77,171058.77,150149.63,55551.82,170538.06,20.89,1.0,1.26
1128,BROWN-FORMAN CORP,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554,645871.36,32064.0,937915.36,253234.7,33667.2,68601.68,292044.0,31.14,0.98,1.45
3960,DIAGEO NORTH AMERICA INC,2443,Seagrams VO,13.48,16.99,1750.0,47654,642375.92,47446.0,902489.54,273169.26,87173.57,257032.07,260113.62,28.82,1.0,1.4
660,SAZERAC NORTH AMERICA INC.,2127,Canadian Ltd,7.19,10.49,1750.0,86887,624717.53,86195.0,899110.55,183132.56,158367.21,17932.33,274393.02,30.52,0.99,1.44
1392,CONSTELLATION BRANDS INC,6682,R M Woodbridge Chard Cal,6.03,8.99,1500.0,101547,612328.41,101339.0,1016328.61,161300.35,22776.05,79528.99,404000.2,39.75,1.0,1.66
3960,DIAGEO NORTH AMERICA INC,3798,Ciroc Apple Vodka,19.83,28.99,750.0,30830,611358.9,29647.0,748067.53,157601.68,23348.15,257032.07,136708.63,18.27,0.96,1.22
3960,DIAGEO NORTH AMERICA INC,4262,Capt Morgan Spiced Rum,11.19,13.99,750.0,54552,610436.88,55710.0,862422.9,241540.93,43861.64,257032.07,251986.02,29.22,1.02,1.41
1128,BROWN-FORMAN CORP,2015,Jack Daniels Tennessee Honey,18.1,22.99,750.0,33715,610241.5,32969.0,771010.31,303753.15,25959.91,68601.68,160768.81,20.85,0.98,1.26
12546,JIM BEAM BRANDS COMPANY,1737,Makers Mark,34.3,51.99,1750.0,17537,601519.1,16089.0,823521.11,432234.78,29564.92,123880.97,222002.01,26.96,0.92,1.37
4425,MARTIGNETTI COMPANIES,38370,Oyster Bay Svgn Bl Marlboro,6.59,9.95,750.0,91140,600612.6,90267.0,890334.41,124833.98,10138.88,144929.24,289721.81,32.54,0.99,1.48
6785,PALM BAY INTERNATIONAL INC,6937,Cavit Pinot Grigio,6.75,9.99,1500.0,88752,599076.0,87974.0,945345.02,164272.29,19771.27,13605.41,346269.02,36.63,0.99,1.58
8112,MOET HENNESSY USA INC,4689,Hennessy Privilege VSOP,33.33,45.99,750.0,17838,594540.54,18005.0,858571.95,177136.37,14178.85,48347.26,264031.41,30.75,1.01,1.44
4425,MARTIGNETTI COMPANIES,3040,Tito's Handmade Vodka,16.54,23.99,1000.0,35922,594149.88,34901.0,842326.99,253126.18,36646.05,144929.24,248177.11,29.46,0.97,1.42
17035,PERNOD RICARD USA,3625,Absolut 80 Proof,12.59,16.99,750.0,45969,578749.71,44406.0,785296.94,270297.42,34961.13,123780.22,206547.23,26.3,0.97,1.36
8112,MOET HENNESSY USA INC,7865,Moet & Chandon Imperial,23.97,34.99,750.0,24088,577389.36,23290.0,834892.1,249582.16,2606.53,48347.26,257502.74,30.84,0.97,1.45
12546,JIM BEAM BRANDS COMPANY,1346,Knob Creek Bourbon,22.55,29.99,750.0,25540,575927.0,22144.0,684455.56,350154.71,17438.07,123880.97,108528.56,15.86,0.87,1.19
